EC	0_1	24_2	144_1	144_2	144_4	240_1	240_5	0_3	24_5	36_1	36_5	144_5	24_1	36_3	36_4	240_3	240_4
EC:3.1.2.-	862.6796	769.5246	778.8376	652.35675	790.3605	708.1015	672.60486	831.0422	694.6593	869.9202	695.4139	668.0402	750.1213	883.0957	880.84973	0	767.0111	
EC:1.7.2.1	2.268192	15.936957	17.305132	32.025585	12.435442	43.875416	15.403343	1.716795	15.823126	2.9549298	4.72193	18.99425	11.734079	1.83892	10.57994	0	7.3822618	
EC:2.4.2.1	8.475325	22.52399	15.064823	36.917152	9.673201	36.115032	6.929926	13.3094635	16.797213	16.522938	4.5267096	16.248442	8.09554	1.09715	10.60041	0	6.216982	
EC:1.7.2.3	0	0	0	0	0	0	0.97375	0	0	0	0	0	0	0	0	0	0	
EC:2.4.2.3	1.822124	1.34209	1.37991	36.12492	0	32.845577	8.149694	0	1.7236509	0	0	2.25885	0	0	0	0	3.7473428	
EC:2.4.2.2	5.5542374	6.4445395	0	16.239836	1.6396639	28.222912	20.499891	3.631814	4.325288	10.016809	10.07992	4.70609	1.34582	4.90987	2.75735	0	5.61798	
EC:2.4.2.4	4.139894	8.828692	0	11.446438	6.525709	15.964205	4.6425486	8.415243	6.591122	0	2.74383	4.661305	12.935211	0	2.47075	0	2.560168	
EC:2.4.2.7	131.37497	121.39438	82.25961	91.53736	80.329796	91.36197	105.20218	140.71706	94.30509	100.728195	83.172516	80.83847	105.037506	82.55761	99.74203	0	117.29323	
EC:2.4.2.6	6.1497	5.085823	0	1.39892	4.44836	5.64048	5.2283797	6.87107	4.4705	1.85106	1.39686	5.48133	9.93941	2.4448	3.96171	0	3.6029	
EC:2.4.2.9	184.43582	281.49008	190.29073	290.038	158.36526	296.85922	263.84985	204.33276	198.57445	148.7594	152.34375	167.7357	216.59521	184.60904	172.68973	0	231.2098	
EC:2.4.2.8	323.5442	379.36926	135.23064	169.92456	132.67284	180.28246	302.328	237.13509	287.42618	308.72202	233.95071	123.22631	252.1507	300.22705	302.9757	0	355.05325	
EC:1.7.2.5	6.4690266	8.8931	16.0226	45.380856	11.90591	65.660835	19.50792	4.512411	12.650867	4.97289	37.14405	16.399822	16.66238	2.55405	6.1098604	0	18.021656	
EC:1.7.2.4	1.893792	2.4668212	3.73421	15.34569	3.708634	10.346696	4.9684362	2.29547	0.461095	1.48481	0	4.863503	0	4.64781	2.57353	0	2.4486709	
EC:1.13.11.75	3.30125	5.1971383	19.51597	12.02697	3.684548	20.06383	9.81481	5.810375	5.603965	2.03095	8.585979	10.58025	2.05645	0	10.8834095	0	6.1785717	
EC:1.13.11.74	0	7.35375	0.906083	2.104469	1.75104	1.39039	0	0	0.519307	0	0	0.93674	0	2.6854	0	0	2.20206	
EC:1.13.11.79	0	33.81534	0	8.666546	0	24.705444	0	0	0	0	0	0	40.17146	17.23901	0	0	14.654747	
EC:1.14.18.2	0	0	0	2.785121	0	0	0	0	0	0	0	0	0	0	0	0	0	
EC:1.14.18.1	23.74456	23.819452	20.65012	20.88556	26.93029	22.001371	21.33074	25.83164	18.704361	27.118261	25.51308	19.555681	16.5985	36.10561	16.9483	0	26.746004	
EC:1.13.11.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06118	
EC:3.1.2.4	0	0	0	0	0	0.982508	0	0	0	0	0	0	0	0	0	0	0	
EC:3.1.2.6	116.18462	156.5104	116.24512	126.80914	104.58841	142.04283	136.19353	101.56978	121.513115	137.19543	96.58006	100.49801	182.09428	137.97345	124.0691	0	148.14876	
EC:1.13.99.1	1.67852	0.440812	4.193957	2.52563	5.3581	5.58197	1.35504	2.964101	6.109491	0	0	6.3456297	0	0	0	0	0	
EC:3.1.2.1	0	2.5700002	4.46703	0	0	0.554707	2.2584	0	0	0	0	0	0	1.54927	2.62605	0	2.67677	
EC:2.4.2.-	252.69736	228.89236	150.88916	184.84937	141.68475	274.3706	284.54907	232.05505	219.09512	158.62576	111.8948	137.66095	237.21417	170.29196	196.34334	0	268.46063	
EC:1.4.3.21	6.4046917	7.61735	6.99809	10.918316	17.939337	9.3091545	7.09065	13.2944	17.476402	37.95832	12.97142	13.055	10.64843	19.94298	16.55784	0	5.56689	
EC:1.5.99.12	0	0	0	0.773985	0	0	0	0	0	0	0	0	0	0	0	0	0	
EC:3.4.11.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82805	0	0	
EC:3.4.11.18	408.29205	414.58316	426.8469	716.01263	414.02594	699.8983	486.1351	476.10846	328.23276	335.0758	318.5934	342.00665	352.15588	290.75513	381.47507	0	502.4148	
EC:3.4.11.19	6.623352	27.396572	4.466818	11.421052	4.5801888	7.6743684	5.1091022	7.988758	11.011556	23.36982	12.53652	4.8928	5.2866	8.54561	5.21983	0	3.4717839	
EC:2.4.2.14	206.49387	567.0046	243.43507	396.96133	303.76166	870.33936	295.3578	171.65573	449.30487	191.67032	186.74757	329.84818	347.63956	276.08792	246.5028	0	440.36768	
EC:3.1.31.1	8.339347	2.899115	15.103495	25.236279	2.75308	49.57161	28.216866	4.04449	3.4616961	5.33383	12.00317	14.656022	2.05342	3.26351	0	0	9.564299	
EC:2.4.2.19	172.759	191.6946	151.8198	188.37286	134.52199	217.36111	197.57135	145.8635	144.80605	166.89229	111.38695	165.12328	196.3934	110.40533	130.51918	0	213.0411	
EC:3.4.11.14	3.12638	9.3827505	7.57652	12.265897	9.707659	16.328043	8.301754	5.735994	5.9035473	6.55046	5.53156	13.618412	7.817081	8.20499	1.33205	0	9.525814	
EC:3.4.11.15	0	1.21097	3.451859	0.639827	0	0	4.625073	0	2.949039	0	0	0	5.87361	0	1.73056	0	0	
EC:2.4.2.17	163.3451	262.55536	212.66043	221.68599	150.35619	221.40976	269.7175	139.00717	185.33144	84.833305	56.353367	190.30417	213.18556	76.71824	134.53607	0	227.34421	
EC:2.4.2.18	171.18674	129.58522	151.28407	211.29396	133.47241	157.49849	162.326	170.66078	107.09087	113.10988	125.170685	95.62259	266.78354	114.11401	163.80357	0	144.9216	
EC:2.6.1.102	47.05824	20.95254	68.43361	63.180737	64.244194	29.276707	14.411089	48.630627	23.501518	28.29	38.65777	63.18624	40.77594	18.9863	47.555542	0	7.7921367	
EC:3.4.11.21	89.087234	122.73166	112.89009	76.641396	113.70911	118.07415	141.46545	86.8755	93.199646	68.3289	73.49816	118.30528	99.430145	84.67811	79.72406	0	141.34628	
EC:2.4.2.12	0	0	0	4.6865892	0	12.116761	0	0	0	0	0	0	0	7.74864	0	0	6.625487	
EC:2.4.2.10	350.5059	275.7677	356.4795	255.58752	362.35425	349.85825	488.47318	300.55215	314.3989	474.7116	358.64972	378.6412	312.12415	230.373	296.6625	0	519.53986	
EC:3.6.5.-	0	3.15162	0	10.673139	0	18.245445	0	0	0	0	0	0	0	0	0	0	10.782915	
EC:2.4.2.28	73.71134	147.67685	98.20444	76.826675	68.43901	180.80037	106.198364	57.38455	104.41823	53.596603	32.136482	67.84045	138.87057	47.36829	49.5207	0	99.90922	
EC:2.4.2.29	79.615234	116.62413	120.82358	189.24788	125.08726	204.43849	166.77396	107.98598	125.50716	101.824326	111.15286	101.40746	131.66983	94.17496	111.70956	0	165.0684	
EC:3.6.5.5	0	0	0	3.912474	0	0.950927	0	0	0	0	0	0	0	0	0	0	2.208931	
EC:1.3.1.48	0	0	0	0	0	1.04416	0	0	0	0	0	0	0	0	0	0	0	
EC:1.3.1.44	0	10.818563	0	60.147575	0	44.36743	0	0	0	0	0	0	9.157008	22.31884	0	0	22.118408	
EC:1.3.1.45	0.879636	2.439647	0	0.716224	0	0	1.7049911	1.88898	2.4160771	0	1.99876	0	0	0	0	0	0	
EC:2.4.2.22	80.59853	127.69105	76.35562	69.96689	54.87906	78.66625	118.16695	77.65191	100.83766	90.580246	70.5691	64.60074	112.81344	83.01967	56.11467	0	122.086555	
EC:2.4.2.21	54.170723	37.682446	42.608345	49.76735	27.75105	47.017532	46.633064	48.77051	34.837566	74.84999	31.15589	21.49968	39.415894	35.75375	46.65921	0	24.611904	
EC:2.7.9.1	24.82177	41.956085	2.018385	13.647731	1.31328	18.289114	6.442053	26.516073	18.049395	9.342736	10.77873	0	25.466156	10.61024	5.60295	0	2.8181748	
EC:2.4.2.38	0	0	0	0	0	0.937534	0	0	0	0	0	0	0	0	0	0	1.81235	
EC:2.7.9.2	323.5525	805.6329	407.27484	493.46356	556.29834	1436.0853	441.8112	269.53146	474.09933	432.41974	577.48224	639.2611	438.29346	628.96045	594.37524	0	449.8617	
EC:2.7.9.3	105.455696	90.39138	89.78991	89.37464	68.90256	145.48625	75.71385	114.71444	79.197716	98.6423	66.89398	68.50021	100.10768	75.358864	60.370842	0	72.812546	
EC:1.3.1.38	0	0	9.64577	8.107559	1.77129	2.90561	14.47235	0	0.454724	3.89763	0	8.73591	0	7.83242	0	0	10.38764	
EC:1.3.1.32	5.727391	7.190919	0.578499	10.500832	3.536031	9.78981	2.48274	7.1755104	3.519212	15.99789	6.30223	3.4548302	1.73201	9.10144	3.93908	0	4.244006	
EC:1.3.1.33	0	0.867112	0	0	1.49479	0	0	2.51864	0.281642	0	0	1.67558	0	0	0	0	0	
EC:1.3.1.34	222.31073	193.156	149.50366	148.3947	131.34427	545.5716	159.35571	276.13242	137.034	78.296616	97.18885	125.48963	267.46747	166.63976	109.342575	0	189.55632	
EC:2.4.2.30	0	4.119748	1.463928	25.860262	2.67757	24.772879	1.7199111	1.92917	1.17459	0	0	0	0	4.14657	0.675822	0	18.991005	
EC:5.4.2.12	269.8551	273.63687	242.4457	291.82645	177.9265	341.1942	263.2102	185.39874	218.17256	304.45438	204.07697	206.08365	259.69745	176.42279	232.9006	0	240.6146	
EC:5.4.2.10	261.10104	254.1633	249.44603	269.1472	213.51376	398.9266	166.2747	263.16263	198.05174	182.87772	142.39594	198.1998	275.3914	204.27756	203.77179	0	148.22908	
EC:2.7.9.4	0.840637	0	0	0	0	0	0	2.050534	3.029259	0	0	0	0	0	0	0	0	
EC:5.4.2.11	31.356005	48.791058	30.578533	163.40303	27.85294	93.573685	43.071613	33.13027	38.676933	23.39598	43.47846	40.83072	50.369587	38.05968	37.47778	0	29.82005	
EC:2.4.2.31	0	0	0	0.776769	0	1.65722	0	0	0	0	0	0	0	0	0	0	0	
EC:2.7.1.16	0.748462	3.5914931	0	9.742184	0	8.05792	0	0	0.49910897	1.37405	0	2.93743	1.58081	4.3151503	2.11291	0	0	
EC:2.7.1.15	27.770409	27.942839	32.18419	41.401894	18.363626	43.803238	17.962288	28.751545	24.03808	25.64279	33.8306	17.489098	25.082783	28.988392	36.737072	0	18.60507	
EC:3.1.22.1	0	2.94141	2.47928	4.508699	3.84447	7.61076	8.635336	0	0	0	0	1.54904	1.42273	2.84241	0	0	9.958469	
EC:2.4.2.46	0	0	0	0.657357	0	0	1.51472	0	1.62824	0	0	1.60765	0	0	0	0	0	
EC:2.7.1.17	26.194752	26.505589	21.728298	67.5689	20.466526	63.337807	37.880005	23.792006	26.75735	53.58925	68.41647	27.562418	35.83665	39.86453	31.49935	0	19.086819	
EC:3.4.25.1	18.053312	14.571365	96.235664	93.00107	74.0599	75.02675	142.00319	13.866342	97.87049	30.36944	10.54525	80.8952	5.6863117	6.40834	138.1336	0	97.82896	
EC:2.4.2.47	0	0	1.45245	0.922828	0.688613	0	0.669453	0	0	0	0	1.77561	0	0	0	0	0.911293	
EC:2.7.1.19	4.36689	6.695609	4.552	9.922498	3.0538	4.130986	1.17154	12.232961	5.5399446	0	1.54297	5.85972	5.36744	0	0	0	0	
EC:3.1.22.-	0	0	0	0	0	1.31812	0	0	0	0	0	0	0	0	0	0	1.62928	
EC:3.4.25.-	0	0	0	0	0	2.992415	0	0	0	0	0	0	0	0	0	0	0	
EC:1.3.1.28	0	0	0	0.557989	0	0	1.56206	0	0	0	0	0	0	0	0	0	0	
EC:3.4.25.2	77.82083	71.82726	97.99612	125.414085	106.836075	167.11108	94.06791	90.139786	69.59606	116.53971	69.16113	78.2798	86.172516	118.37444	87.06981	0	78.69173	
EC:1.3.1.21	0	0	0.964165	0	0	1.13786	0.601434	0	3.809807	0	0	2.9996781	0	0	0	0	0	
EC:1.3.1.22	1.40452	0	1.59633	1.72502	0	0	4.408766	0	3.847316	0	4.27016	1.60765	0	0	0	0	0.831438	
EC:3.1.22.4	51.247303	53.673737	44.326305	93.87373	37.264965	79.5377	56.33924	46.70668	48.673244	59.266388	38.48545	38.632824	35.093838	40.72836	36.85662	0	44.869164	
EC:2.7.1.12	52.928894	38.359566	28.02592	51.773705	22.573116	48.855835	40.54266	63.763565	59.08217	48.3564	58.31828	22.721851	28.078617	41.71421	52.549187	0	28.524538	
EC:2.7.1.11	7.8272705	30.49446	30.574537	135.84544	16.554583	97.088554	33.45038	7.9610214	23.054615	18.19682	25.75016	29.10671	18.667896	15.50333	32.15064	0	27.452566	
EC:2.4.2.45	0	0	3.57135	0.877812	4.547221	0	0	0	0	0	0	2.23225	0	0	2.02747	0	0	
EC:2.4.2.43	22.9601	17.1121	158.135	64.957	98.1699	6.34947	16.768	32.5591	14.0775	21.1572	29.488808	134.04489	12.5545	25.8043	26.07579	0	18.7693	
EC:2.7.1.13	42.964737	22.2748	17.39739	9.524026	19.20161	10.24195	6.92752	44.206657	28.45805	34.78334	41.87284	12.815599	15.3739395	42.96848	38.5022	0	6.66919	
EC:5.3.3.1	1.29771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
EC:5.3.3.2	1.48133	5.77356	7.288002	11.566212	2.45428	16.154703	9.831838	8.074613	13.83103	0	13.586531	5.00293	2.18401	6.3744097	12.858789	0	15.707232	
EC:5.3.3.-	0	0	0	0	0	0.494906	0	0	0	0	0	0	0	0	0	0	1.01234	
EC:3.8.1.2	87.56915	178.78328	63.242714	104.273125	63.356205	147.03494	72.47438	63.633186	56.4292	85.544975	56.35566	55.9722	129.5581	83.78716	65.2774	0	83.457	
EC:1.3.1.14	8.952671	15.20584	6.151018	18.815393	5.2978573	11.62962	5.753169	14.504319	12.186857	9.0553	2.91026	18.06387	8.43256	1.93128	7.42317	0	7.750828	
EC:3.8.1.3	24.983921	32.994953	22.33823	31.510857	22.263437	18.357433	23.713406	30.582413	25.10255	26.665789	26.16709	22.4721	40.854572	18.9909	25.39503	0	22.87725	
EC:5.3.3.8	0	0	2.27893	2.659596	0	1.070714	4.71292	0	0	0	0	3.55712	0	0	0	0	4.564545	
EC:3.8.1.5	0	0	0	0	0	0	0.595069	3.22017	0.315781	0	0	0	0	0	0	0	0	
EC:1.3.1.10	577.14575	2531.6902	980.90356	475.8979	737.787	616.9275	651.0394	515.2234	1077.1034	737.2899	495.90454	722.4843	1507.6034	544.30566	628.88513	0	688.1901	
EC:5.3.3.5	0	1.15351	0	2.64864	0	4.65238	0	0	0	0	0	0	0	0	0	0	7.71926	
EC:1.3.1.12	12.23402	36.69221	35.50849	112.23854	21.817137	131.27327	36.792656	20.117144	31.202848	28.709461	15.12358	29.428356	39.261047	14.92567	19.65747	0	13.719059	
EC:3.8.1.8	0	0	1.31682	0	4.67816	0	2.6028	0	1.2629089	0	1.38116	0.450629	0	0	1.0729	0	0	
EC:5.3.3.4	29.647491	12.3094	21.7086	17.363415	14.583337	10.0648	7.98742	33.84879	15.191708	11.46507	10.9829	13.0822	19.44281	20.8326	5.21149	0	10.5315	
EC:1.3.1.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.587181	0	0	
EC:5.4.1.3	0	0.501686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.729859	
EC:2.4.2.52	17.64109	129.59607	134.10394	51.4726	92.28182	17.751629	20.40887	37.060696	62.066223	31.625168	32.27544	107.05188	90.892784	35.28807	33.1933	0	22.05666	
EC:2.4.2.53	59.3815	812.0854	347.7313	155.30139	381.23856	46.77661	91.753075	45.827408	648.5148	48.166042	68.41208	419.03387	347.16473	34.94404	53.321568	0	88.9373	
EC:2.7.1.37	3.46848	0.661218	1.09788	0	0	0	1.04137	0	1.90624	0	0	0	0	0	0	0	1.26509	
EC:2.7.1.39	263.59097	358.57846	260.39017	224.56422	197.5977	299.40765	277.87714	203.72403	270.43356	287.36487	217.234	207.043	318.94452	235.3078	223.4483	0	318.54303	
EC:5.1.3.14	79.41648	43.567326	33.164135	109.16409	36.37394	131.45525	70.640625	95.94886	43.602642	57.87738	55.97689	34.016087	48.67397	52.38257	36.108177	0	38.467556	
EC:5.1.3.15	225.21039	224.92255	161.76826	83.290474	171.78241	94.37019	129.14548	208.50491	197.42038	183.91295	156.22943	146.23961	174.07846	171.25424	191.22229	0	157.77678	
EC:4.3.1.12	78.60159	73.32286	64.97956	99.11142	61.603954	83.76106	61.06709	77.032265	55.81073	45.90984	59.63013	64.14738	93.50449	80.3142	54.580227	0	67.92057	
EC:3.3.2.6	0	0.741931	0	0.856911	0	2.286952	0	0	0	0	0	0	0	1.16515	0	0	13.86001	
EC:3.3.2.9	2.47318	1.039	0	0	0	2.77354	0.876944	1.24207	0	0	0	0	0	0	10.81032	0	0.720084	
EC:4.3.1.15	4.781794	5.857973	0.940061	5.29982	0.619056	3.5043669	1.704062	1.200522	1.816086	2.59334	0	0	3.60673	0	0	0	0.640075	
EC:1.14.13.81	0	0	0	1.18976	0	0	0	2.46876	0.568405	0	0	0	0	0	0	0	2.38961	
EC:2.1.1.144	67.18378	103.10138	87.44989	53.741745	100.7157	56.42206	52.984142	60.647484	79.563	81.848526	83.666306	102.361435	87.10391	112.32861	72.2084	0	71.25353	
EC:4.3.1.17	97.48108	78.355865	82.43723	94.30663	68.78714	64.61636	64.071266	118.65304	69.59954	135.38715	84.9749	61.75327	105.08195	118.0125	76.3454	0	61.423576	
EC:1.14.13.83	43.522697	38.575	26.671	26.463366	20.97651	44.77775	38.010292	31.518589	38.436584	30.99128	29.60252	25.253654	43.679802	41.055298	30.777199	0	40.117783	
EC:5.1.3.10	0	9.52475	0.529612	7.9766474	1.24229	1.985099	1.964246	2.6248798	1.6356089	2.846075	3.23483	4.0678797	0	3.87014	4.17781	0	3.740325	
EC:4.3.1.18	16.344006	17.958574	8.07869	15.1727705	7.892343	11.346437	14.194132	22.8089	12.871087	17.44671	7.1132803	11.35648	19.582924	18.963171	18.98736	0	14.62085	
EC:1.14.13.82	38.315125	48.01631	28.323198	38.364716	30.548082	40.52909	40.140755	30.903156	32.015068	53.588455	30.238869	30.477823	38.77065	42.290497	41.42627	0	22.15041	
EC:4.3.1.19	176.90617	193.65955	144.49255	184.53577	128.04355	227.62616	162.24915	185.3366	159.44667	174.17004	147.32104	121.830124	228.15048	140.80206	168.63052	0	174.11864	
EC:5.1.3.13	213.06392	306.08444	260.88315	167.54712	325.15845	167.63075	170.4802	157.78542	233.26105	198.19427	172.63919	298.09137	240.64883	165.16896	154.44957	0	196.4934	
EC:1.14.13.84	0.656344	1.02087	0	0.959741	3.22871	0.880488	0	0.657036	0.705164	2.49097	0	0	0.851204	0	4.9807396	0	0	
EC:2.7.1.30	659.06415	4646.7993	1106.881	1841.1989	1125.8291	339.84872	451.03223	261.23578	2265.4568	294.18597	155.51808	1259.6293	2901.254	336.8475	240.40443	0	335.85672	
EC:3.3.2.1	0	0	0	2.10469	0	0	0	0	0	0	0	0	0	0	0	0	0	
EC:2.7.1.32	0	0	0	4.378254	0	0.500488	0	0	0	0	0	0	0	0	0	0	0	
EC:2.7.1.31	21.556606	38.526802	20.804708	44.22694	29.39169	23.898125	15.98658	29.45005	41.90695	60.19807	40.17504	25.966991	69.39026	33.35617	19.69243	0	20.44371	
EC:2.-	337.28223	145.93964	231.36317	173.246	239.19225	128.0103	355.62048	259.07883	328.43845	363.92123	312.88953	236.50162	176.15428	71.7674	292.69565	0	116.15827	
EC:2.7.1.33	76.81626	146.76974	53.226006	116.05184	46.82264	115.15279	53.035686	58.29732	150.31763	88.70256	87.99478	64.936806	79.17529	60.85473	46.972336	0	62.94477	
EC:2.7.1.36	0	0	2.08902	1.65473	0	0	0	0	4.02044	0	0	0	0	0	1.21469	0	0.794576	
EC:2.7.1.35	74.076096	94.765175	52.297638	33.176186	46.17027	67.450584	63.891422	66.57559	69.51503	60.91652	46.17117	49.8886	86.70334	53.8647	61.301544	0	61.800896	
EC:2.7.1.26	287.7219	411.3513	479.24365	356.11224	493.7798	317.9754	341.61963	531.205	491.0643	344.12506	242.25461	258.2076	313.8161	297.1084	588.73206	0	741.7362	
EC:2.7.1.29	0.490372	1.11604	10.0640335	7.1365237	2.952614	3.61607	8.889997	0	4.3652	0	3.04769	4.3864403	7.223718	0.734289	7.3263	0	0.680586	
EC:1.14.14.1	1.64086	7.20251	5.5202203	46.135494	7.1655617	24.299538	10.049397	9.473151	30.860958	0	5.91861	5.0405397	3.0501041	1.34912	44.45836	0	1.786353	
EC:1.14.14.8	0	0	0	0	0	0	0	0.657036	0	0	0	0	0	0	0	0	0	
EC:1.14.14.7	0	0	0	0	2.213798	0	0	0	0.490389	0.511658	1.62454	2.2362	0	0	0	0	0	
EC:1.14.14.5	40.803715	78.41148	238.96356	228.53893	130.74501	68.92883	231.67241	49.681904	58.384857	40.329327	29.65456	185.59267	133.92673	75.13933	30.98459	0	235.60165	
