id	hour	replicate	filename
Ga0068821	0	1	Hof3ISUMetaT/68483
Ga0079984	24	2	Hof3ISUMetaT_5/73498
Ga0068836	144	1	Hof3ISUMetaT_10/68487
Ga0079985	144	2	Hof3ISUMetaT_11/73497
Ga0068839	144	4	Hof3ISUMetaT_13/68485
Ga0079986	240	1	Hof3ISUMetaT_14/73496
Ga0068845	240	5	Hof3ISUMetaT_15/68481
Ga0068823	0	3	Hof3ISUMetaT_16/68482
Ga0068830	24	5	Hof3ISUMetaT_17/68490
Ga0068831	36	1	Hof3ISUMetaT_18/68489
Ga0068835	36	5	Hof3ISUMetaT_19/68486
Ga0068840	144	5	Hof3ISUMetaT_20/68484
Ga0068826	24	1	Hof3ISUMetaT_4/74460
Ga0068833	36	3	Hof3ISUMetaT_8/73615
Ga0068834	36	4	Hof3ISUMetaT_9/68488
Ga0068843	240	3	Hof3ISUMetaT_22/73617
Ga0068844	240	4	Hof3ISUMetaT_24/73616
